;seqProtocolo;numProtocolo;codHash;tipStatusProtocolo;datDataEnvioProtocolo;codIpEnvio;qtdProcessosLote;qtdProcessosSucesso;qtdProcessosErro;siglaOrgao;grau;tamanhoArquivo;urlArquivo;flgExcluido;data;descStatusProtocolo
0;743000001;TJPE82560202201181642495680068;6ce641607f75a7597b63797fc129cd41cd915e92a2ba031a6f50ed013c37a60f;3;1642495680077;;100;100;0;TJPE;G1;1161962.0;2022/TJPE/01/G1/TJPE82560202201181642495680068;False;2022-01-18 05:48:00.077;Processado com sucesso
1;743000000;TJPE51007202201181642495677929;45840e3388ffe8ef5a6dd9ca64194bc432b4612cc3832245e6fac6652ca6b2fe;3;1642495677933;;100;100;0;TJPE;JE;445082.0;2022/TJPE/01/JE/TJPE51007202201181642495677929;False;2022-01-18 05:47:57.933;Processado com sucesso
2;742999999;TJPE13706202201181642495676308;330fb0290e7626c1fd82a00058064e326b7c7bd28628775e3174cf5cbd2960af;3;1642495676320;;100;100;0;TJPE;G1;1333483.0;2022/TJPE/01/G1/TJPE13706202201181642495676308;False;2022-01-18 05:47:56.320;Processado com sucesso
3;742999998;TJPE68971202201181642495674324;a614c5e95225e4772a8c1ef33190838cc743467b2e39874e3f67c60213511267;7;1642495674340;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE68971202201181642495674324;False;2022-01-18 05:47:54.340;Erro no arquivo
4;742999997;TJPE77436202201181642495671955;cbbec8b20710298498bcf116c36a88a1fa9aa159c60e90dc6175bcd46fa23163;7;1642495671965;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE77436202201181642495671955;False;2022-01-18 05:47:51.965;Erro no arquivo
5;742999996;TJPE43165202201181642495669334;63ef210a1cb6de3b264372bf0815f580ff438e69511f61ad0d6646e1440cacd2;7;1642495669354;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE43165202201181642495669334;False;2022-01-18 05:47:49.354;Erro no arquivo
6;742999995;TJPE58025202201181642495665789;d8c063dc2006847f707e300175edb171695b99758ac21d86848e2cd154feaee6;3;1642495665800;;99;99;0;TJPE;G1;1467283.0;2022/TJPE/01/G1/TJPE58025202201181642495665789;False;2022-01-18 05:47:45.800;Processado com sucesso
7;742999994;TJPE51711202201181642495662685;c25deb7a3d71f87a32f424b9da1d228bae8f6027ef6af237c13ec3f7d4c98b29;3;1642495662696;;100;100;0;TJPE;JE;1339274.0;2022/TJPE/01/JE/TJPE51711202201181642495662685;False;2022-01-18 05:47:42.696;Processado com sucesso
8;742999993;TJPE13201202201181642495660063;dbef0e5fb38f18eae41e701c4a210220330c0e73a9a0147b268ec8630b16cc74;3;1642495660070;;100;100;0;TJPE;G1;1053856.0;2022/TJPE/01/G1/TJPE13201202201181642495660063;False;2022-01-18 05:47:40.070;Processado com sucesso
9;742999992;TJPE90014202201181642495657506;d940656189d2726bddc5e369ab27a67d405784ca0296c8ed2bab2c6399736eea;3;1642495657513;;100;100;0;TJPE;G2;773303.0;2022/TJPE/01/G2/TJPE90014202201181642495657506;False;2022-01-18 05:47:37.513;Processado com sucesso
10;742999991;TJPE96196202201181642495655794;94d66e84d55e65a4d020a52aa83aa12adbc70eb08342a2624401d1dba7619c7c;7;1642495655802;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE96196202201181642495655794;False;2022-01-18 05:47:35.802;Erro no arquivo
11;742999990;TJPE45155202201181642495652692;df342067fe55801eb240e55d7c9ca5f70ca1cd0cf685e9df540c304080ba98d4;3;1642495652702;;99;99;0;TJPE;G1;1306954.0;2022/TJPE/01/G1/TJPE45155202201181642495652692;False;2022-01-18 05:47:32.702;Processado com sucesso
12;742999989;TJPE89780202201181642495650005;75aba048859e56fbc39ea6faf5f90f89a0f921b8792a8a23f353ce689c9dc3d8;3;1642495650014;;100;100;0;TJPE;JE;1202124.0;2022/TJPE/01/JE/TJPE89780202201181642495650005;False;2022-01-18 05:47:30.014;Processado com sucesso
13;742999988;TJPE40863202201181642495647515;71665aa77e30f9b32737c8f35603090a83ba743b8c586757bd7796cf486d5365;3;1642495647527;;96;96;0;TJPE;G1;1607406.0;2022/TJPE/01/G1/TJPE40863202201181642495647515;False;2022-01-18 05:47:27.527;Processado com sucesso
14;742999987;TJPE65783202201181642495644184;3f1620619266430e91bdec9f3ade18ac6098835ee3213fdeaffda82d3cc23553;3;1642495644193;;96;96;0;TJPE;G1;1029081.0;2022/TJPE/01/G1/TJPE65783202201181642495644184;False;2022-01-18 05:47:24.193;Processado com sucesso
15;742999986;TJPE54148202201181642495641957;79e2340deaf02f89a66c7b94b62c5c3540eed6e98a8d8842243ab3a8b0deb395;3;1642495641965;;100;100;0;TJPE;G1;893085.0;2022/TJPE/01/G1/TJPE54148202201181642495641957;False;2022-01-18 05:47:21.965;Processado com sucesso
16;742999985;TJPE31485202201181642495639617;e7e6ee83d5a35035163309e3771d24cef72a293f35f2f16d0b0e160b0af6d6e7;3;1642495639625;;100;100;0;TJPE;G1;1026073.0;2022/TJPE/01/G1/TJPE31485202201181642495639617;False;2022-01-18 05:47:19.625;Processado com sucesso
17;742999984;TJPE34220202201181642495637767;9c6c30d1f625b111a306182a37f87d875b05844cc80dcd9e1f534d2ff40e9ca6;7;1642495637775;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE34220202201181642495637767;False;2022-01-18 05:47:17.775;Erro no arquivo
18;742999983;TJPE24507202201181642495636176;0dd561bf41a7f37279e932395e3937c551e53bdfd59020b1356c2874726c0de1;3;1642495636183;;100;100;0;TJPE;G1;900295.0;2022/TJPE/01/G1/TJPE24507202201181642495636176;False;2022-01-18 05:47:16.183;Processado com sucesso
19;742999982;TJPE87122202201181642495633630;5e1ab6cb465096a3e165bdb32d6e4cce0f89264de0e249c592e5c871c3e8c305;7;1642495633639;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE87122202201181642495633630;False;2022-01-18 05:47:13.639;Erro no arquivo
20;742999981;TJPE84706202201181642495630540;ed691e8b9085c4f561ade3827f81e3c07dc9f1857870a6fa8364540d389a2cbd;7;1642495630549;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE84706202201181642495630540;False;2022-01-18 05:47:10.549;Erro no arquivo
21;742999980;TJPE82090202201181642495628458;1ef9d30489bf00f52f2984ec3db5a1c2f164b7401b4651917a9af66472dd65e0;3;1642495628474;;99;99;0;TJPE;G1;1480912.0;2022/TJPE/01/G1/TJPE82090202201181642495628458;False;2022-01-18 05:47:08.474;Processado com sucesso
22;742999979;TJPE64718202201181642495625590;4f0c40e491ba4fb21e0460384a99000790553cac5d3c73a920f59fe43b4da411;7;1642495625602;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE64718202201181642495625590;False;2022-01-18 05:47:05.602;Erro no arquivo
23;742999978;TJPE84282202201181642495622706;188e3af88e161910a7f082e2eacba74faa849f5ba5face5b54575d3c07b9bac0;3;1642495622716;;99;99;0;TJPE;G1;1365100.0;2022/TJPE/01/G1/TJPE84282202201181642495622706;False;2022-01-18 05:47:02.716;Processado com sucesso
24;742999977;TJPE39418202201181642495620142;3480710ee7921b76f26a9ce97cd51705ea8b46a562b8dfcd46700ab1b9d050f4;3;1642495620148;;100;100;0;TJPE;G1;747136.0;2022/TJPE/01/G1/TJPE39418202201181642495620142;False;2022-01-18 05:47:00.148;Processado com sucesso
25;742999976;TJPE26150202201181642495617990;5fedd5e4b96060b1bf1b8b0fc063c371bbfe27ed6dffce11fa4cb50a51527b81;3;1642495618004;;98;98;0;TJPE;G1;1417575.0;2022/TJPE/01/G1/TJPE26150202201181642495617990;False;2022-01-18 05:46:58.004;Processado com sucesso
26;742999975;TJPE64348202201181642495614673;a517b30cebda311ddee0de48d5d48f7d48308213d42774b66b4feaa47eb3dd25;7;1642495614686;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE64348202201181642495614673;False;2022-01-18 05:46:54.686;Erro no arquivo
27;742999974;TJPE12077202201181642495610610;46ca2024ee439695f514e2b3d737b98b8bd0ed0d5f1914c22a5ae51b384f72c2;7;1642495610631;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE12077202201181642495610610;False;2022-01-18 05:46:50.631;Erro no arquivo
28;742999973;TJPE14573202201181642495606786;31acef511e5537d9e9c8a44828c806013f9b0dd9ab7d1503a188acd58a73c334;3;1642495606801;;100;100;0;TJPE;G2;1900091.0;2022/TJPE/01/G2/TJPE14573202201181642495606786;False;2022-01-18 05:46:46.801;Processado com sucesso
29;742999972;TJPE46041202201181642495603493;a78b9f46446513915b43a6f591412200576a92ca1df6288a801baaef7e1e46d9;7;1642495603498;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE46041202201181642495603493;False;2022-01-18 05:46:43.498;Erro no arquivo
30;742999971;TJPE59139202201181642495601848;064a43d19e83044bbc5972bf967f5937b1523888803f61324f9f2b69f98431ea;3;1642495601863;;92;92;0;TJPE;G1;1355811.0;2022/TJPE/01/G1/TJPE59139202201181642495601848;False;2022-01-18 05:46:41.863;Processado com sucesso
31;742999970;TJPE28820202201181642495599060;dcf409517e92751a40be0f7c0abef36bd1cbb88d3cfb46aeb5927c67bf4876f7;7;1642495599070;;0;0;0;TJPE;G1;;2022/TJPE/01/G1/TJPE28820202201181642495599060;False;2022-01-18 05:46:39.070;Erro no arquivo
32;742999969;TJPE14658202201181642495596466;b11e2480c52e7a0c5d0eadb20e0b422e179de916c4b23946ae0f11bf8d4baf28;3;1642495596477;;98;98;0;TJPE;G1;765024.0;2022/TJPE/01/G1/TJPE14658202201181642495596466;False;2022-01-18 05:46:36.477;Processado com sucesso
